Altium Designer Pick and Place Locations
C:\Users\Public\Documents\Altium\JPSU V1\Project Outputs for JPSU V1\Pick Place for JPSU_V1(Build).txt

========================================================================================================================
File Design Information:

Date:       27-06-21
Time:       14:42
Revision:   badb1d039d6679230f274f796bd44e196d608219
Variant:    Build
Units used: mil

Designator Footprint          Center-X(mil) Center-Y(mil) Ref-X(mil) Ref-Y(mil) Pad-X(mil) Pad-Y(mil) Layer       Rotation 
D1         LED_0603_WURTH     1771.653      68.898        1771.654   68.898     1740.158   68.898     TopLayer    180      
R6         RES0201            720.472       422.719       720.472    422.719    720.472    433.546    TopLayer    270      
R2         RES0603            1771.653      127.953       1771.653   127.953    1801.181   127.953    TopLayer    180      
R25        RES0603            476.378       288.386       476.378    288.386    476.378    258.858    BottomLayer 90       
R21        RES0201            1072.835      96.741        1072.835   96.741     1072.835   85.914     BottomLayer 90       
R14        RES0603            976.378       122.047       976.378    122.047    976.378    151.575    BottomLayer 270      
R17        TC33X-2            1289.370      132.874       1289.370   132.874    1250.000   196.850    BottomLayer 270      
C17        C0201              1039.370      299.213       1039.370   299.213    1039.370   288.780    TopLayer    90       
C18        C0402              734.252       214.173       734.252    214.173    734.252    196.457    BottomLayer 90       
R3         RES_2512           728.346       718.504       728.346    718.504    605.315    718.504    TopLayer    0        
U2         SOT-23-5           830.709       161.417       881.890    198.819    881.890    198.819    BottomLayer 180      
U1         LM5122_HTSS0P-24   915.354       472.441       915.354    472.441    801.181    613.189    TopLayer    0        
R24        RES0402            830.709       72.835        830.709    72.835     848.425    72.835     BottomLayer 180      
R23        RES0201            881.890       78.740        881.890    78.740     881.890    67.913     BottomLayer 90       
R22        RES0201            1072.835      40.354        1072.835   40.354     1072.835   51.181     BottomLayer 270      
R20        RES0805            2544.488      541.339       2544.488   541.339    2581.890   541.339    TopLayer    180      
R19        RES0805            685.039       160.630       685.039    160.630    685.039    123.228    BottomLayer 90       
R18        TC33X-2            974.409       314.961       974.409    314.961    910.433    275.590    BottomLayer 0        
R16        RES0201            830.709       236.220       830.709    236.220    841.535    236.220    BottomLayer 180      
R15        RES0805            1013.779      206.693       1013.779   206.693    1051.181   206.693    BottomLayer 180      
R13        RES0603            580.709       485.236       580.709    485.236    551.181    485.236    BottomLayer 0        
R12        RES0201            783.465       298.031       783.465    298.031    783.465    287.205    TopLayer    90       
R11        RES0201            807.087       298.031       807.087    298.031    807.087    287.205    TopLayer    90       
R10        RES0201            836.614       287.205       836.614    287.205    825.787    287.205    TopLayer    0        
R9         RES0201            984.252       300.394       984.252    300.394    984.252    289.567    TopLayer    90       
R8         RES0201            1078.740      311.024       1078.740   311.024    1078.740   300.197    TopLayer    90       
R7         RES0201            748.032       343.504       748.032    343.504    748.032    332.677    TopLayer    90       
R5         RES0201            659.449       433.071       659.449    433.071    670.276    433.071    TopLayer    180      
R4         RES0201            659.449       511.811       659.449    511.811    670.276    511.811    TopLayer    180      
R1         RES_2512           1988.189      501.969       1988.189   501.969    1988.189   625.000    BottomLayer 270      
Q5         TSMT8              586.614       279.527       586.614    279.527    539.370    241.142    BottomLayer 0        
Q4         SOT-23-3           586.614       141.732       586.614    141.732    624.016    100.000    BottomLayer 90       
Q3         DPAK229P990X239-4N 2492.126      314.961       2492.126   314.961    2581.890   440.945    TopLayer    180      
Q2         SOP-Advance-8      1462.008      535.433       1462.008   531.496    1387.008   423.228    TopLayer    90       
Q1         SOP-Advance-8      1706.693      576.575       1702.756   576.575    1594.488   651.575    TopLayer    0        
L1         PQ2614BHA-150K     1200.787      1220.472      1200.787   1220.472   1000.984   785.925    TopLayer    0        
D3         SOD-80             1151.575      137.795       1151.575   137.795    1151.575   211.614    BottomLayer 270      
D2         DO-214AC-2         1204.724      508.661       1204.724   508.661    1204.724   579.331    TopLayer    270      
C16        C0201              1007.874      299.212       1007.874   299.213    1007.874   309.646    TopLayer    270      
C15        C0402              1106.299      362.205       1106.299   362.205    1106.299   379.921    TopLayer    270      
C14        C0402              711.811       377.953       711.811    377.953    729.528    377.953    TopLayer    180      
C13        C0201              748.031       434.058       748.032    434.058    758.465    434.058    TopLayer    180      
C12        C0603              1114.173      459.646       1114.173   459.646    1114.173   491.142    TopLayer    270      
C11        C0402              732.677       485.236       732.677    485.236    750.394    485.236    TopLayer    180      
C10        C1206              1889.764      586.614       1889.764   586.614    1889.764   645.669    TopLayer    270      
C9         C1206              1968.504      586.614       1968.504   586.614    1968.504   645.669    TopLayer    270      
C8         C1206              2047.244      586.614       2047.244   586.614    2047.244   645.669    TopLayer    270      
C7         C1206              2125.984      586.614       2125.984   586.614    2125.984   645.669    TopLayer    270      
C6         C1206              2204.724      586.614       2204.724   586.614    2204.724   645.669    TopLayer    270      
C2         C0603              1114.173      570.866       1114.173   570.866    1114.173   539.370    TopLayer    90       
C1         C1206              521.654       669.291       521.654    669.291    521.654    728.346    TopLayer    270      
